index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.stern.de/wirtschaft/news/solar--und-windenergie--weltweit-deutlich-mehr-oekostrom-jobs---china-fuehrend-35109070.html,https://www.stern.de/wirtschaft/news/solar--und-windenergie--weltweit-deutlich-mehr-oekostrom-jobs---china-fuehrend-35109070.html,0,www.stern.de,Solar- und Windenergie: Weltweit deutlich mehr Ökostrom-Jobs - China führend,Die zweitgrößte Volkswirtschaft China stellt alle anderen Länder nicht nur bei den Investitionen in erneuerbare Energien in den Schatten. Dieser Boom schlägt sich auch an anderer Stelle nieder.,https://image.stern.de/35109072/t/YZ/v1/w1440/r1.7778/-/01--m73xrvikdev44axw800h600jpeg---5f060548bd62e440.jpg,2024-10-01T08:00:37Z,https://web.archive.org/web/20241001082241/https://www.stern.de/wirtschaft/news/solar--und-windenergie--weltweit-deutlich-mehr-oekostrom-jobs---china-fuehrend-35109070.html,"Die zweitgrößte Volkswirtschaft China stellt alle anderen Länder nicht nur bei den Investitionen in erneuerbare Energien in den Schatten. Dieser Boom schlägt sich auch an anderer Stelle nieder.
Die … [+2198 chars]",,de,'Windkraft'
https://www.tagesspiegel.de/wirtschaft/zahl-der-okostrom-jobs-weltweit-gewachsen-china-liegt-mit-74-millionen-stellen-an-der-spitze-12466007.html,https://www.tagesspiegel.de/wirtschaft/zahl-der-okostrom-jobs-weltweit-gewachsen-china-liegt-mit-74-millionen-stellen-an-der-spitze-12466007.html,0,www.tagesspiegel.de,"Zahl der Ökostrom-Jobs weltweit gewachsen: China liegt mit 7,4 Millionen Stellen an der Spitze","Einer Studie zufolge ist die Zahl der Jobs im Bereich der erneuerbaren Energien weltweit gestiegen. Im vergangenen Jahr gab es 18 Prozent mehr Stellen als im Jahr davor, die meisten davon im Solarbereich.",https://www.tagesspiegel.de/images/12466004/alternates/BASE_16_9_W1400/1727769700000/erneuerbare-energien-in-china.jpeg,2024-10-01T08:01:40Z,https://web.archive.org/web/20241001113507/http://www.tagesspiegel.de/wirtschaft/zahl-der-okostrom-jobs-weltweit-gewachsen-china-liegt-mit-74-millionen-stellen-an-der-spitze-12466007.html,"Die Zahl der Arbeitsplätze in der Ökostrom-Branche ist einer Studie zufolge weltweit deutlich gewachsen. Im vergangenen Jahr gab es im Bereich der erneuerbaren Energien mindestens 16,2 Millionen Arbe… [+2476 chars]",,de,'Windkraft'
https://www.zeit.de/news/2024-10/01/sieben-tote-in-cherson-bei-russischem-beschuss,https://www.zeit.de/news/2024-10/01/sieben-tote-in-cherson-bei-russischem-beschuss,0,www.zeit.de,Krieg in der Ukraine: Sieben Tote in Cherson bei russischem Beschuss,Hier finden Sie Informationen zu dem Thema „Krieg in der Ukraine“. Lesen Sie jetzt „Sieben Tote in Cherson bei russischem Beschuss“.,https://img.zeit.de/news/2024-10/01/sieben-tote-in-cherson-bei-russischem-beschuss-image-group/wide__1300x731,2024-10-01T08:35:44Z,,In der südukrainischen Großstadt Cherson sind am Morgen nach offiziellen Angaben mindestens sieben Menschen durch russischen Beschuss ums Leben gekommen. Drei weitere Zivilisten wurden verletzt. Das … [+926 chars],,de,'Krieg'
https://www.stern.de/politik/ausland/krieg-in-der-ukraine--russische-truppen-dringen-ins-zentrum-von-wuhledar-vor-35110122.html,https://www.stern.de/politik/ausland/krieg-in-der-ukraine--russische-truppen-dringen-ins-zentrum-von-wuhledar-vor-35110122.html,0,www.stern.de,Krieg in der Ukraine: Russische Truppen dringen ins Zentrum von Wuhledar vor,"Während der ukrainische Präsident Wolodymyr Selenskyj in den USA seinen ""Siegesplan"" vorstellte, hat sich die Lage für seine Truppen in der Ostukraine verschlechtert. Wuhledar steht vor dem Fall.",https://image.stern.de/35110124/t/xG/v1/w1440/r1.7778/-/01--2vel3akivuv13axw800h600jpeg---3ce2666a2f4611d6.jpg,2024-10-01T10:47:46Z,,"Während der ukrainische Präsident Wolodymyr Selenskyj in den USA seinen ""Siegesplan"" vorstellte, hat sich die Lage für seine Truppen in der Ostukraine verschlechtert. Wuhledar steht vor dem Fall.
Ru… [+1999 chars]",,de,'Ukraine'
https://www.zeit.de/news/2024-10/01/russische-truppen-dringen-ins-zentrum-von-wuhledar-vor,https://www.zeit.de/news/2024-10/01/russische-truppen-dringen-ins-zentrum-von-wuhledar-vor,0,www.zeit.de,Krieg in der Ukraine: Russische Truppen dringen ins Zentrum von Wuhledar vor,Hier finden Sie Informationen zu dem Thema „Krieg in der Ukraine“. Lesen Sie jetzt „Russische Truppen dringen ins Zentrum von Wuhledar vor“.,https://img.zeit.de/news/2024-10/01/russische-truppen-dringen-ins-zentrum-von-wuhledar-vor-image-group/wide__1300x731,2024-10-01T10:47:46Z,,"Russische Truppen sind in die ostukrainische Bergarbeiterstadt Wuhledar vorgedrungen. «Die Kämpfe finden im Stadtgebiet statt. Daher ist es fast nicht mehr möglich, humanitäre Hilfe hinzubringen», sa… [+2477 chars]",,de,'Krieg'
https://www.zeit.de/news/2024-10/01/un-buero-kiew-kriegsgefangene-werden-gefoltert,https://www.zeit.de/news/2024-10/01/un-buero-kiew-kriegsgefangene-werden-gefoltert,0,www.zeit.de,Krieg gegen Ukraine: UN-Büro Kiew: Kriegsgefangene werden gefoltert,Hier finden Sie Informationen zu dem Thema „Krieg gegen Ukraine“. Lesen Sie jetzt „UN-Büro Kiew: Kriegsgefangene werden gefoltert“.,https://img.zeit.de/news/2024-10/01/un-buero-kiew-kriegsgefangene-werden-gefoltert-image-group/wide__1300x731,2024-10-01T10:48:45Z,,Das UN-Menschenrechtsbüro hat Folter und Misshandlungen von ukrainischen und russischen Kriegsgefangenen dokumentiert. Allerdings waren die Ukrainer nach eigenen Angaben während ihrer ganzen Gefangen… [+2172 chars],,de,'Ukraine'
https://www.tagesspiegel.de/internationales/krieg-in-der-ukraine-russische-truppen-dringen-ins-zentrum-von-wuhledar-vor-12467441.html,https://www.tagesspiegel.de/internationales/krieg-in-der-ukraine-russische-truppen-dringen-ins-zentrum-von-wuhledar-vor-12467441.html,0,www.tagesspiegel.de,Krieg in der Ukraine: Russische Truppen dringen ins Zentrum von Wuhledar vor,"Während der ukrainische Präsident Wolodymyr Selenskyj in den USA seinen „Siegesplan“ vorstellte, hat sich die Lage für seine Truppen in der Ostukraine verschlechtert. Wuhledar steht vor dem Fall.",https://www.tagesspiegel.de/images/12467438/alternates/BASE_16_9_W1400/1727779744000/ukraine-krieg-wuhledar.jpeg,2024-10-01T10:49:04Z,,"Russische Truppen sind in die ostukrainische Bergarbeiterstadt Wuhledar vorgedrungen. Die Kämpfe finden im Stadtgebiet statt. Daher ist es fast nicht mehr möglich, humanitäre Hilfe hinzubringen, sagt… [+1885 chars]",,de,'Kämpfe'
https://www.tagesspiegel.de/internationales/krieg-in-der-ukraine-berichte-russische-truppen-erobern-wuhledar-12467441.html,https://www.tagesspiegel.de/internationales/krieg-in-der-ukraine-berichte-russische-truppen-erobern-wuhledar-12467441.html,0,www.tagesspiegel.de,Krieg in der Ukraine: Berichte: Russische Truppen erobern Wuhledar,"Im Osten der Ukraine hat sich die Lage für die Verteidiger verschlechtert. Eine Stadt, die lange eine ukrainische Festung war, ist in russische Hand gefallen.",https://www.tagesspiegel.de/images/12471038/alternates/BASE_16_9_W1400/1727802365000/ukraine-krieg-wuhledar.jpeg,2024-10-01T10:49:04Z,,Russische Truppen haben nach inoffiziellen Berichten die ostukrainische Bergarbeiterstadt Wuhledar erobert. Russische Militärblogs veröffentlichten am Nachmittag Fotos von russischen Flaggen auf mehr… [+2336 chars],,de,'Ukraine'
https://www.zeit.de/news/2024-10/01/risikogruppen-impfungen-gegen-grippe-und-corona-empfohlen,https://www.zeit.de/news/2024-10/01/risikogruppen-impfungen-gegen-grippe-und-corona-empfohlen,0,www.zeit.de,Atemwegserkrankungen: Risikogruppen - Impfungen gegen Grippe und Corona empfohlen,Hier finden Sie Informationen zu dem Thema „Atemwegserkrankungen“. Lesen Sie jetzt „Risikogruppen - Impfungen gegen Grippe und Corona empfohlen“.,https://img.zeit.de/news/2024-10/01/risikogruppen-impfungen-gegen-grippe-und-corona-empfohlen-image-group/wide__1300x731,2024-10-01T10:58:00Z,https://web.archive.org/web/20241002230954/https://www.zeit.de/news/2024-10/01/risikogruppen-impfungen-gegen-grippe-und-corona-empfohlen,Bei der sogenannten Langen Nacht des Impfens können Berlinerinnen und Berliner sich heute bis 22 Uhr gegen Grippe (Influenza) und Covid-19 impfen lassen. Dies wird zum Beginn der Erkältungssaison ins… [+1818 chars],,de,'Risiko'
https://www.diepresse.com/18921028/wuhledar-einkesselt-russland-dringt-fast-in-stadtzentrum-der-ukrainischen-stadt-vor,https://www.diepresse.com/18921028/wuhledar-einkesselt-russland-dringt-fast-in-stadtzentrum-der-ukrainischen-stadt-vor,0,www.diepresse.com,Wuhledar einkesselt: Russland dringt fast in Stadtzentrum der ukrainischen Stadt vor,Humanitäre Hilfe kommt wegen der Kämpfe kaum mehr in die strategisch wichtige Kleinstadt Wuhledar. Russland meldet die Einnahme zweier kleinerer Ortschaften in der Ostukraine. Fatal endet ein russischer Raketenangriff auf Cherson: Sechs Zivilisten sollen ums …,https://img.diepresse.com/public/incoming/qz6jn2-UKRAINE-CRISISVUHLEDAR/alternates/DPR_SOCIAL_NACHRICHTEN/UKRAINE-CRISISVUHLEDAR,2024-10-01T11:55:11Z,,Humanitäre Hilfe kommt wegen der Kämpfe kaum mehr in die strategisch wichtige Kleinstadt Wuhledar. Russland meldet die Einnahme zweier kleinerer Ortschaften in der Ostukraine. Fatal endet ein russisc… [+3476 chars],,de,'Kämpfe'
https://www.n-tv.de/politik/Kaempfe-im-Stadtgebiet-Wuhledar-steht-vor-dem-Fall-article25263628.html,https://www.n-tv.de/politik/Kaempfe-im-Stadtgebiet-Wuhledar-steht-vor-dem-Fall-article25263628.html,0,www.n-tv.de,Russen hissen ihre Fahnen: Kämpfe im Stadtgebiet: Wuhledar steht vor dem Fall,"Seit 2022 ist die ukrainische Bergarbeiterstadt Wuhledar Frontgebiet, Russland erleidet dort massive Verluste. Nun aber steht der nahezu komplett evakuierte Ort kurz vor dem Fall.",https://bilder2.n-tv.de/img/incoming/crop25264289/9581329736-cImg_16_9-w1200/whuledar.jpg,2024-10-01T13:21:32Z,,"Seit 2022 ist die ukrainische Bergarbeiterstadt Wuhledar Frontgebiet, Russland erleidet dort massive Verluste. Nun aber steht der nahezu komplett evakuierte Ort kurz vor dem Fall.
Russische Truppen … [+2105 chars]",,de,'Russland'
https://www.dw.com/de/eu-waffen-sollen-im-libanon-schweigen/a-70377064,https://www.dw.com/de/eu-waffen-sollen-im-libanon-schweigen/a-70377064,0,www.dw.com,EU: Waffen sollen im Libanon schweigen,"Die Kämpfe zwischen Israel und der Hisbollah ziehen den Libanon in eine Katastrophe, befürchtet die EU. Aktiv werden kann sie aber kaum. Zumindest gibt sie Geld, berichtet Bernd Riegert aus Brüssel.",https://static.dw.com/image/70201071_6.jpg,2024-10-01T14:00:00Z,,Nach dem Beginn der israelischen Operationen mit Landstreitkräften im Süden des Libanon hat die Europäische Union ihre Position zum bewaffneten Konflikt zwischen der als Terrororganisation eingestuft… [+5436 chars],,de,'Kämpfe'
https://www.tagesspiegel.de/internationales/nahost-konflikt-iran-greift-israel-mit-fast-200-raketen-an-12469961.html,https://www.tagesspiegel.de/internationales/nahost-konflikt-iran-greift-israel-mit-fast-200-raketen-an-12469961.html,0,www.tagesspiegel.de,Nahost-Konflikt: Iran greift Israel mit fast 200 Raketen an,"Landesweit heulen die Sirenen, Millionen suchen Zuflucht in Bunkern und Schutzräumen. Ein lange befürchteter Raketenangriff des Irans versetzt Israel in Angst. Kommt nun der nächste Gegenschlag?",https://www.tagesspiegel.de/images/12471296/alternates/BASE_16_9_W1400/1727809628000/nahostkonflikt-hadera.jpeg,2024-10-01T14:10:02Z,,"Der Iran hat Israel massiv angegriffen. Rund 180 Raketen wurden nach ersten Schätzungen der israelischen Armee am Dienstagabend abgefeuert. Die iranischen Revolutionsgarden erklärten, die Attacke sei… [+6430 chars]",,de,'Angst'
https://www.sueddeutsche.de/politik/israel-krieg-news-liveticker-libanon-bodenoffensive-iran-angriff-lux.Y3GEiP1SiYxUnqjL7T5Nkj,https://www.sueddeutsche.de/politik/israel-krieg-news-liveticker-libanon-bodenoffensive-iran-angriff-lux.Y3GEiP1SiYxUnqjL7T5Nkj,0,www.sueddeutsche.de,Krieg in Nahost: USA: Iran bereitet Raketenangriff gegen Israel vor,"Dieser stehe unmittelbar bevor, heißt es aus Washington. Die israelische Armee sagt, noch seien keine feindlichen Raketenstarts registriert worden. Sie ruft die Bevölkerung zur Vorsicht auf und mobilisiert für die Offensive in Libanon Tausende weitere Reservi…",https://www.sueddeutsche.de/2024/10/01/b027dfc9-2d73-45fb-bc33-6ed50cc4f32d.jpeg?q=60&fm=webp&width=1200&rect=0%2C90%2C3500%2C1969,2024-10-01T14:27:16Z,,"Nach dem Beginn von Bodenangriffen auf libanesischem Gebiet meldet die israelische Armee intensive Kämpfe mit der Hisbollah. Die Gefechte fänden im Süden Libanons statt, teilte ein Militär-Sprecher a… [+1049 chars]",,de,'Krieg'
https://www.zeit.de/news/2024-10/01/russland-nimmt-angebliche-internet-verschwoerer-fest,https://www.zeit.de/news/2024-10/01/russland-nimmt-angebliche-internet-verschwoerer-fest,0,www.zeit.de,Geheimdienst: Russland nimmt angebliche Internet-Verschwörer fest,Hier finden Sie Informationen zu dem Thema „Geheimdienst“. Lesen Sie jetzt „Russland nimmt angebliche Internet-Verschwörer fest“.,https://img.zeit.de/news/2024-10/01/russland-nimmt-angebliche-internet-verschwoerer-fest-image-group/wide__1300x731,2024-10-01T14:44:52Z,https://web.archive.org/web/20241002154748/https://www.zeit.de/news/2024-10/01/russland-nimmt-angebliche-internet-verschwoerer-fest,"Der russische Inlandsgeheimdienst FSB hat nach eigenen Angaben bei einer koordinierten Aktion 39 Menschen im Land festgenommen, darunter mehrere Minderjährige. Es handele sich um Teilnehmer «destrukt… [+2086 chars]",,de,'Putin'
